Name,Count,ProportionFemale
Annemarie,10071,1.0
David,2122577,0.00414496152554183
Kyle,478574,0.014493056455219047
Susanna,12713,1.0
Valorie,4344,1.0
Cherry,4628,0.996542783059637
Teena,3565,1.0
Loraine,3296,1.0
Vikki,3835,1.0
Avis,3159,0.8724279835390947
Althea,5663,1.0
Bethany,96221,0.998087735525509
Helena,20107,1.0
Justine,33031,0.9287033392873362
Lyn,3509,0.8515246508976917
Maritza,21772,0.9963714863126952
Etta,4674,1.0
Carmela,7195,0.9993050729673384
Migdalia,3091,0.9983824005176318
Shellie,8106,0.9874167283493709
Earnestine,1462,1.0
Gertrude,2287,1.0
Misty,84385,0.9971914439770101
Janna,13020,1.0
Dori,3978,1.0
Louann,2112,1.0
Shawna,44421,0.9976362531235227
Cheryle,1723,1.0
Kate,65772,0.998798880982789
Marietta,2950,1.0
Tana,6806,0.9991184249191889
Minerva,5274,1.0
Bridgett,12360,1.0
Clarissa,34600,0.9993930635838151
Alexandra,232824,0.9963319932652991
Lawanda,8964,0.999330655957162
Lesia,2678,1.0
Shauna,25829,0.9978706105540284
Deb,679,1.0
Letitia,6807,1.0
Selena,49229,0.998842145889618
Gerri,3257,0.9963156278784158
Leesa,2958,1.0
Mariann,2842,1.0
Raquel,45496,0.9941533321610692
Cathie,1601,1.0
Nikki,36694,0.9769172071728348
Rebekah,70907,0.9983217453847998
Francis,62836,0.11176713985613343
Gabrielle,133683,0.9943298699161449
Madonna,2999,1.0
Delphine,2124,1.0
Edwina,4269,1.0
Lavonne,3381,0.9736764270925762
Pennie,3030,1.0
Karrie,9199,1.0
Kathrine,8924,1.0
Maribeth,3443,1.0
Shelli,6401,1.0
Cari,12094,0.994294691582603
Elva,4856,0.9950576606260296
Elvira,6563,1.0
Starla,6792,1.0
Cherri,2698,1.0
Kandy,3841,0.9986982556625879
Paige,140162,0.9945420299367874
Vonda,5567,0.9980240704149452
Deidra,9376,1.0
Eloise,16192,1.0
Missy,5032,1.0
Nannette,2988,1.0
Dottie,2327,1.0
Katy,17032,0.999706434945984
Danna,17484,0.9959391443605582
Dolly,3744,1.0
Karon,5029,0.4189699741499304
Bonny,2514,0.9896579156722355
Earlene,1789,1.0
